,Text,Author,Created at,Retweet count,Favorite count,Location,Follower count
59,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",luigirubio,2021-06-23 00:10:22,507,0,"Hawaii, USA",388
60,@UniPicturesCAN Let me know when you guys make a movie about cars and you include actual real fast cars that can ow… https://t.co/ygDkXyJlWv,TheJewbyrd7777,2021-06-23 00:10:01,0,0,Type Zero,657
61,RT @alvinfoo: Dubai Airport full of #Tesla https://t.co/EHsJOhIZv3,alvinfoo,2021-06-23 00:09:50,47,0,china,69442
62,RT @5stocksinto: 5 Chinese Stocks Into EV Charging Stations https://t.co/iQZzd3Lyr8 #China #Technology #Stocks #Investing #ElectricVehicles…,PythonExpertBot,2021-06-23 00:08:56,14,0,127.0.0.1,1311
63,"RT @Teslaconomics: This will help fuck up the shorts &amp; FUD. 🔥 

$TSLA #Tesla

 https://t.co/mZZ2D9UcKf",BitcoinUniv3RS3,2021-06-23 00:08:56,140,0,BitcoinUniverse,34
64,RT @5stocksinto: 5 Chinese Stocks Into EV Charging Stations https://t.co/iQZzd3Lyr8 #China #Technology #Stocks #Investing #ElectricVehicles…,5stocksinto,2021-06-23 00:08:42,14,0,WorldWide,1295
65,"RT @RoseLeoMusk: Alset International and #Tesla  to deliver its first 20 eco-friendly homes #Ehomes in the Houston area of Texas.
Congratul…",marieluciesecr1,2021-06-23 00:04:31,1,0,"Palos Verdes Estates, CA",241
66,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",jenna_crypto,2021-06-23 00:01:12,12,0,,44
67,"Bitcoin price crash is weighing on Tesla's stock: analyst 
#Tesla #Bitcoin $tsla

https://t.co/NnzN9fb80T",anasalhajji,2021-06-23 00:00:32,2,8,"Dallas, USA",74751
68,"RT @WevolverApp: Delivery Robots Help Ann Arbor Restaurants Weather COVID

https://t.co/PifZnvtupV

Image/video credits: @UMengineering 

#…",LearnRobot,2021-06-23 00:00:29,2,0,planet Earth,939
69,"RT @WevolverApp: Delivery Robots Help Ann Arbor Restaurants Weather COVID

https://t.co/PifZnvtupV

Image/video credits: @UMengineering 

#…",RobotConsumer,2021-06-23 00:00:18,2,0,,3177
70,"@TeslaJoy teases us with the new Model S Plaid 🤤

#Tesla #ModelS #Plaid #EVTV
https://t.co/1Tw8TTzLR5",evannex_com,2021-06-23 00:00:10,0,1,"Deerfield Beach, FL",15874
71,RT @DiavoloMartin: #this is the way? #doge #dogecoin #ElonMusk @dogecoin @elonmusk #Tesla @Tesla #cryptocurrency #pic #picturethis https://…,elithway2021,2021-06-22 23:59:05,173,0,,2
72,"Tesla’s Bitcoin Bet Is Going Bad. Here’s How Much It Could Lose. 
#Tesla #Bitcoin $tsla $bc

https://t.co/yZWV9Vgq7q",anasalhajji,2021-06-22 23:58:38,1,7,"Dallas, USA",74751
73,"Delivery Robots Help Ann Arbor Restaurants Weather COVID

https://t.co/PifZnvtupV

Image/video credits:… https://t.co/hW9CJZz035",WevolverApp,2021-06-22 23:58:07,2,4,Amsterdam,17099
74,"Alset International and #Tesla  to deliver its first 20 eco-friendly homes #Ehomes in the Houston area of Texas.
Co… https://t.co/k0rYEJzg75",RoseLeoMusk,2021-06-22 23:54:24,1,6,E̬̦̫͔̙̗͕͢l̮̞͟on̹̹̞̘͕̘ ส้้้้้้,2428
75,"RT @joemeeks2003: #dogecoin #DiamondHands 💎🙌
#SpaceX adoption 
#Tesla adoption 
#ProfessionalSport adoption
#Retail adoption
#Robinhood wal…",joemeeks2003,2021-06-22 23:52:54,4,0,,427
76,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",codedailybot,2021-06-22 23:50:26,41,0,#codedaily,11520
77,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",codedailybot,2021-06-22 23:50:26,41,0,#codedaily,11520
78,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",codedailybot,2021-06-22 23:50:26,41,0,#codedaily,11520
79,"RT @Teslaconomics: Life is too short to worry about the bitty bitty details to save that extra cent. 

Invest to free yourself baby. ❤️ 

$…",Bariz101323,2021-06-22 23:49:32,3,0,"Los Angeles, CA",15
80,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",TheCuriousLuke,2021-06-22 23:48:04,41,0,Switzerland,6371
81,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",xaelbot,2021-06-22 23:48:00,41,0,Earth,4786
82,"Have You Eaten Your 2 Shoes So Far, @ValueAnalyst1? 
You've told your followers &amp; Patreons to buy/hold $TSLA based… https://t.co/uYxEFNbuZ5",ClaireMusk,2021-06-22 23:47:59,0,27,,1721
83,"RT @Paula_Piccard: #Tesla unveils its new supercomputer (5th most powerful in the world) to train self-driving AI

https://t.co/SWM4jo35EC…",CoderRetweet,2021-06-22 23:47:59,41,0,Europe,2588
84,"The first EV on my neighborhood in San Jose, Costa Rica is a #Tesla #models (2012). ! https://t.co/NfwEJTAck5",vincenzobarri71,2021-06-22 23:46:05,0,0,"Earth ,Solar System, Milky Way",170
